,email_address,customer_id,cardholder_status,rewards_tier,last_active
0,test+000@movableink.com,781823091,N,Diamond,2023-05-28 22:18:29
1,test+001@movableink.com,844999598,Y,Diamond,2023-06-19 18:40:49
2,test+002@movableink.com,360299041,N,Diamond,2023-04-08 21:13:11
3,test+003@movableink.com,942668674,N,None,2023-01-07 22:29:44
4,test+004@movableink.com,109238981,N,Diamond,2023-03-16 08:43:15
5,test+005@movableink.com,902045460,N,None,2023-06-30 04:58:31
6,test+006@movableink.com,324485420,N,Silver,2023-01-03 08:00:40
7,test+007@movableink.com,389077527,N,Gold,2023-05-05 04:17:40
8,test+008@movableink.com,609993429,N,Diamond,2023-06-10 13:42:51
9,test+009@movableink.com,651008353,N,Platinum,2023-03-23 23:23:51
10,test+010@movableink.com,789340477,N,Platinum,2023-06-15 08:21:56
11,test+011@movableink.com,794669748,Y,Silver,2023-03-17 11:48:43
12,test+012@movableink.com,686438831,Y,Gold,2023-02-12 08:50:08
13,test+013@movableink.com,653011210,Y,Diamond,2023-05-06 05:33:53
14,test+014@movableink.com,344406852,Y,Gold,2023-03-21 14:59:30
15,test+015@movableink.com,470450131,N,Diamond,2023-04-04 17:44:10
16,test+016@movableink.com,535608366,Y,Silver,2023-05-31 15:53:31
17,test+017@movableink.com,249698057,N,None,2023-03-30 07:34:04
18,test+018@movableink.com,519590585,Y,Silver,2023-03-14 18:34:17
19,test+019@movableink.com,642417074,Y,Platinum,2023-01-09 04:32:33
20,test+020@movableink.com,121997994,Y,Silver,2023-02-23 07:49:21
21,test+021@movableink.com,218576954,Y,Diamond,2023-03-16 18:14:30
22,test+022@movableink.com,759890162,N,None,2023-01-11 11:46:52
23,test+023@movableink.com,252941075,N,Diamond,2023-03-13 15:30:20
24,test+024@movableink.com,976652457,Y,Platinum,2023-04-01 19:08:11
25,test+025@movableink.com,757220713,N,Silver,2023-04-14 10:35:19
26,test+026@movableink.com,339273986,N,Diamond,2023-04-06 23:35:38
27,test+027@movableink.com,300872759,N,Platinum,2023-06-07 20:43:07
28,test+028@movableink.com,902446219,N,None,2023-03-31 05:01:35
29,test+029@movableink.com,111329484,Y,None,2023-05-23 03:23:48
30,test+030@movableink.com,139390316,N,None,2023-01-18 12:38:51
31,test+031@movableink.com,949567717,N,Platinum,2023-01-14 21:37:33
32,test+032@movableink.com,347424675,N,Silver,2023-06-20 07:25:30
33,test+033@movableink.com,943396621,Y,None,2023-02-24 10:57:22
34,test+034@movableink.com,581749138,N,None,2023-01-18 08:24:48
35,test+035@movableink.com,905607408,N,None,2023-05-22 17:34:37
36,test+036@movableink.com,840155719,Y,Platinum,2023-04-11 00:44:42
37,test+037@movableink.com,840859494,N,Gold,2023-06-18 02:03:03
38,test+038@movableink.com,545097997,Y,Gold,2023-02-04 23:32:12
39,test+039@movableink.com,395891142,Y,Diamond,2023-05-18 06:52:26
40,test+040@movableink.com,950093754,Y,Gold,2023-02-13 10:15:22
41,test+041@movableink.com,139814536,N,None,2023-01-03 16:54:09
42,test+042@movableink.com,568167424,Y,None,2023-07-01 14:28:57
43,test+043@movableink.com,242240729,Y,Silver,2023-03-21 01:57:35
44,test+044@movableink.com,263767445,Y,Gold,2023-03-05 08:26:27
45,test+045@movableink.com,547104969,N,Platinum,2023-01-30 23:41:21
46,test+046@movableink.com,696485536,N,Silver,2023-03-28 02:23:40
47,test+047@movableink.com,231666629,N,Platinum,2023-05-21 15:56:02
48,test+048@movableink.com,421402361,Y,Silver,2023-06-11 10:45:41
49,test+049@movableink.com,181349636,Y,None,2023-05-05 20:14:51
50,test+050@movableink.com,410683319,Y,Gold,2023-07-06 13:32:46
51,test+051@movableink.com,247619548,Y,None,2023-06-01 06:21:47
52,test+052@movableink.com,310350794,Y,Gold,2023-07-03 16:07:46
53,test+053@movableink.com,579640907,N,Silver,2023-05-11 10:39:14
54,test+054@movableink.com,673810945,N,Diamond,2023-06-18 16:15:17
55,test+055@movableink.com,201596131,N,Silver,2023-03-02 04:29:49
56,test+056@movableink.com,105024034,N,Platinum,2023-01-12 23:06:12
57,test+057@movableink.com,619261941,Y,Silver,2023-03-26 02:53:29
58,test+058@movableink.com,870135031,Y,Silver,2023-05-17 07:08:28
59,test+059@movableink.com,609344891,Y,Gold,2023-06-01 10:51:11
60,test+060@movableink.com,736560278,Y,None,2023-03-02 19:23:37
61,test+061@movableink.com,664466803,Y,Silver,2023-02-24 19:46:36
62,test+062@movableink.com,138650221,N,Gold,2023-02-17 07:15:09
63,test+063@movableink.com,339949863,Y,Platinum,2023-07-09 02:10:07
64,test+064@movableink.com,912041938,N,Silver,2023-06-08 14:07:52
65,test+065@movableink.com,198036815,Y,Gold,2023-01-17 15:03:14
66,test+066@movableink.com,561006384,Y,Gold,2023-03-26 15:08:32
67,test+067@movableink.com,445021914,N,Platinum,2023-06-09 05:07:10
68,test+068@movableink.com,436822657,N,Gold,2023-03-28 00:12:00
69,test+069@movableink.com,947345421,Y,None,2023-06-27 06:21:01
70,test+070@movableink.com,138891838,Y,Gold,2023-04-20 14:40:45
71,test+071@movableink.com,216234358,Y,Silver,2023-03-01 19:22:31
72,test+072@movableink.com,209950447,N,Platinum,2023-02-25 16:02:28
73,test+073@movableink.com,850109989,Y,Gold,2023-01-02 03:15:56
74,test+074@movableink.com,227513697,N,None,2023-01-07 05:17:27
75,test+075@movableink.com,674629455,Y,Diamond,2023-02-17 09:27:00
76,test+076@movableink.com,305291539,N,Gold,2023-02-20 19:56:34
77,test+077@movableink.com,640684779,N,Diamond,2023-03-08 14:54:40
78,test+078@movableink.com,320222755,N,Silver,2023-04-13 23:11:29
79,test+079@movableink.com,970611137,Y,None,2023-03-24 05:59:18
80,test+080@movableink.com,893220886,Y,Diamond,2023-05-14 04:29:52
81,test+081@movableink.com,769228289,N,Diamond,2023-03-01 21:54:54
82,test+082@movableink.com,600360463,Y,None,2023-01-09 05:46:25
83,test+083@movableink.com,722503128,N,Gold,2023-01-30 09:01:25
84,test+084@movableink.com,495415055,N,Platinum,2023-07-02 05:08:12
85,test+085@movableink.com,890568031,Y,Platinum,2023-02-02 14:28:43
86,test+086@movableink.com,728169153,Y,Gold,2023-06-19 11:01:33
87,test+087@movableink.com,774135291,N,None,2023-03-23 08:18:14
88,test+088@movableink.com,126893784,N,Silver,2023-06-15 07:12:46
89,test+089@movableink.com,541032721,Y,Gold,2023-04-09 05:14:02
90,test+090@movableink.com,499572720,N,Diamond,2023-03-09 18:55:50
91,test+091@movableink.com,572618825,Y,None,2023-01-06 15:55:40
92,test+092@movableink.com,572564215,N,Silver,2023-05-16 17:10:18
93,test+093@movableink.com,619884141,N,None,2023-03-27 19:31:49
94,test+094@movableink.com,640298631,N,Diamond,2023-06-16 19:19:47
95,test+095@movableink.com,604588160,N,Platinum,2023-06-01 07:08:10
96,test+096@movableink.com,819192467,Y,Platinum,2023-03-07 10:02:32
97,test+097@movableink.com,413078374,Y,Diamond,2023-02-28 22:52:48
98,test+098@movableink.com,348386835,Y,Silver,2023-03-17 05:17:18
99,test+099@movableink.com,327099797,Y,Gold,2023-02-27 15:45:10
100,test+100@movableink.com,248458462,Y,Silver,2023-01-17 10:52:50
101,test+101@movableink.com,319348541,N,Gold,2023-07-10 04:02:36
102,test+102@movableink.com,128182333,Y,Gold,2023-05-30 00:34:55
103,test+103@movableink.com,104723180,Y,Gold,2023-01-24 00:24:19
104,test+104@movableink.com,429154885,N,Silver,2023-06-17 13:36:57
105,test+105@movableink.com,678975848,N,Silver,2023-05-29 07:14:54
106,test+106@movableink.com,952253133,Y,None,2023-07-08 05:52:56
107,test+107@movableink.com,666884407,N,Gold,2023-04-29 10:22:58
108,test+108@movableink.com,158912809,Y,Platinum,2023-03-25 00:21:58
109,test+109@movableink.com,528468270,N,Diamond,2023-04-14 20:50:47
110,test+110@movableink.com,362545962,Y,Platinum,2023-02-04 21:23:56
111,test+111@movableink.com,837759401,N,Platinum,2023-01-17 22:32:40
112,test+112@movableink.com,993024812,Y,None,2023-03-12 07:44:57
113,test+113@movableink.com,294058337,N,Diamond,2023-01-24 05:12:41
114,test+114@movableink.com,323435175,Y,Diamond,2023-06-23 01:27:46
115,test+115@movableink.com,201798490,Y,None,2023-02-03 23:57:48
116,test+116@movableink.com,275286544,Y,Platinum,2023-01-03 09:15:41
117,test+117@movableink.com,471021472,Y,None,2023-05-11 16:17:50
118,test+118@movableink.com,113734487,Y,Silver,2023-04-30 13:40:39
119,test+119@movableink.com,557084767,Y,Diamond,2023-05-14 07:20:27
120,test+120@movableink.com,418746081,N,Silver,2023-01-10 00:04:10
121,test+121@movableink.com,199947989,N,Gold,2023-06-01 06:18:41
122,test+122@movableink.com,888072522,Y,None,2023-05-19 03:41:26
123,test+123@movableink.com,338442106,Y,None,2023-03-17 22:49:49
124,test+124@movableink.com,740154102,Y,None,2023-05-07 22:13:02
125,test+125@movableink.com,818784942,N,Platinum,2023-01-20 21:23:19
126,test+126@movableink.com,485988418,Y,Diamond,2023-03-03 16:41:33
127,test+127@movableink.com,410204574,N,None,2023-06-02 23:42:52
128,test+128@movableink.com,494937332,Y,Diamond,2023-04-03 01:02:39
129,test+129@movableink.com,979943750,Y,Platinum,2023-03-28 03:13:41
130,test+130@movableink.com,950604748,N,Platinum,2023-02-18 07:11:42
131,test+131@movableink.com,782820555,N,Platinum,2023-02-03 09:15:44
132,test+132@movableink.com,189649850,N,Silver,2023-06-27 02:27:17
133,test+133@movableink.com,419607936,Y,Gold,2023-01-18 12:58:16
134,test+134@movableink.com,481301116,N,Silver,2023-04-05 00:27:58
135,test+135@movableink.com,894627870,Y,None,2023-04-08 14:58:03
136,test+136@movableink.com,979941803,N,Gold,2023-05-20 11:23:09
137,test+137@movableink.com,837417720,N,Platinum,2023-06-07 12:02:57
138,test+138@movableink.com,751353340,Y,Silver,2023-01-06 19:07:01
139,test+139@movableink.com,895465957,N,Diamond,2023-05-24 03:52:48
140,test+140@movableink.com,929449102,Y,Diamond,2023-03-24 21:16:06
141,test+141@movableink.com,463200583,N,Gold,2023-02-01 21:47:29
142,test+142@movableink.com,353546716,Y,Gold,2023-02-26 14:47:49
143,test+143@movableink.com,512518612,N,Silver,2023-06-09 08:34:19
144,test+144@movableink.com,591269911,N,None,2023-02-14 20:00:30
145,test+145@movableink.com,401281890,N,None,2023-03-20 16:26:57
146,test+146@movableink.com,484223885,Y,Diamond,2023-06-24 18:45:30
147,test+147@movableink.com,257937680,Y,Diamond,2023-06-17 13:03:32
148,test+148@movableink.com,604839871,Y,Platinum,2023-03-21 07:36:41
149,test+149@movableink.com,509430958,N,Platinum,2023-04-14 06:09:36
150,test+150@movableink.com,699930331,N,None,2023-04-09 14:12:39
151,test+151@movableink.com,570846411,Y,None,2023-05-15 14:31:26
152,test+152@movableink.com,896717951,N,Diamond,2023-02-05 08:34:42
153,test+153@movableink.com,282890150,Y,None,2023-03-04 20:43:38
154,test+154@movableink.com,930507903,Y,Silver,2023-03-13 15:12:09
155,test+155@movableink.com,712160572,N,Diamond,2023-04-09 05:19:06
156,test+156@movableink.com,284632026,Y,Silver,2023-03-12 13:01:22
157,test+157@movableink.com,433908914,Y,Platinum,2023-05-04 15:58:43
158,test+158@movableink.com,473077942,Y,Silver,2023-03-05 08:58:53
159,test+159@movableink.com,454720772,Y,Platinum,2023-02-13 12:28:21
160,test+160@movableink.com,921723408,Y,Diamond,2023-04-18 11:56:13
161,test+161@movableink.com,392056059,N,Platinum,2023-01-28 01:45:45
162,test+162@movableink.com,548966361,N,Gold,2023-05-23 14:24:34
163,test+163@movableink.com,950692540,N,None,2023-05-09 21:05:49
164,test+164@movableink.com,259577628,Y,Silver,2023-06-23 18:55:39
165,test+165@movableink.com,104922769,N,Silver,2023-06-08 04:24:56
